model,R2_PTM,R2_IPTM,RMSE_PTM,RMSE_IPTM
ridge,0.6301564728695779,0.7251089328376534,0.025075000330523158,0.11875521260333319
rf,0.8385611313140727,0.8832171228097915,0.016566699283010602,0.07740374138943185
xgb,0.8715395469670542,0.9030804217777919,0.014778033983910598,0.07051445044957179
lgbm,0.8218288059456744,0.8686808759937427,0.01740406439702181,0.08207981262888216
mlp_sk,0.6722140371213333,0.7929407201879457,0.02360625596929096,0.10306701953748355
