model,R2_PTM,R2_IPTM,RMSE_PTM,RMSE_IPTM
ridge,0.6790265364115813,0.7593349576985551,0.02335965910252292,0.111116581957236
rf,0.8330953415812861,0.8795999671332917,0.016844811888831804,0.0785933264484832
xgb,0.8439557566678764,0.8816676832155246,0.016287551881928562,0.07791553402178833
lgbm,0.8038138240861852,0.8536313810340523,0.01826274845255337,0.086655544487934
mlp_sk,0.26380570532160297,0.7280382765771561,0.035377583120447094,0.11812076750301637
