model,R2_PTM,R2_IPTM,RMSE_PTM,RMSE_IPTM
ridge,0.6705946703117659,0.7508384253935343,0.023664495330325035,0.11306102053320384
rf,0.8276535687080021,0.874998159451948,0.017117214140735335,0.08008119988367499
mlp_sk,0.48343851280727423,0.6799205293871173,0.02963418229838155,0.1281448856574739
xgb,0.8362987391106996,0.8781054860974513,0.016682377656921505,0.07907959706092034
lgbm,0.7962781136964721,0.848855871071072,0.018610188868965594,0.08805783606092075
