ridge_PTM,ridge_IPTM,rf_PTM,rf_IPTM,mlp_PTM,mlp_IPTM
0.72850806,0.21633834,0.7195569999999998,0.1907425555555555,0.7304901,0.21157473
0.7251264,0.20111161,0.7232856666666663,0.1696091666666666,0.7232996,0.17630835
0.738307,0.23731393,0.7246616666666658,0.1770099999999997,0.73758906,0.20235737
0.7266642,0.2131033,0.7158663333333337,0.1925287142857141,0.73349756,0.25780368
0.6662073,0.16755658,0.6829400000000001,0.2346366666666664,0.67640734,0.22925594
0.7129587,0.67313087,0.7119999999999991,0.6730000000000017,0.7148888,0.6860619
0.69495916,0.59800327,0.6949999999999997,0.5850000000000007,0.7005422,0.6093524
0.7082584,0.67065716,0.7020499999999987,0.6533399999999994,0.7212635,0.6937545
0.7472903,0.27290928,0.734445119047619,0.2214435714285714,0.7364232,0.22938657
0.7129587,0.67313087,0.7119999999999991,0.6730000000000017,0.7148888,0.6860619
0.73157394,0.21005252,0.7286156666666664,0.1974762857142857,0.7331666,0.19973747
0.7336007,0.20871252,0.7389150000000001,0.2427800000000001,0.7282392,0.21286377
0.70436597,0.65315026,0.7060000000000002,0.671,0.7056846,0.6836332
0.7383516,0.24143901,0.7339826666666667,0.2058939523809524,0.73451793,0.21327639
0.7436432,0.24100423,0.736,0.2408276666666666,0.7468488,0.26410562
0.7185861,0.17670578,0.7111016666666667,0.1640221666666666,0.7287276,0.2083737
0.74285084,0.24882504,0.7311599999999995,0.1915057142857142,0.73801136,0.20175564
0.7392921,0.23359257,0.7572450595238096,0.3474270238095238,0.74049956,0.22263446
0.7365196,0.22588438,0.7410999999999999,0.2510086666666669,0.7446234,0.2513503
0.7051703,0.6379473,0.7220000000000002,0.7060000000000015,0.70669234,0.682625
0.5572377,0.22572643,0.5279500000000001,0.13459,0.54102445,0.21195468
0.72888225,0.18916604,0.7328228095238092,0.2010835714285713,0.7363669,0.18976986
0.7335713,0.20005912,0.7329408333333332,0.2174286666666665,0.7348883,0.19982871
0.5395703,0.1659255,0.52117,0.13209,0.5200576,0.13307947
0.72757214,0.19524577,0.7385699999999994,0.2378199999999999,0.73549736,0.20672119
0.73234177,0.22945091,0.7218474999999994,0.1547206666666665,0.7380606,0.23682448
0.7482182,0.26062858,0.7376466428571427,0.255266666666667,0.7365695,0.20281965
0.67592454,0.58910644,0.6809999999999989,0.6360000000000011,0.6770046,0.6331845
0.6857867,0.5887064,0.6910000000000011,0.6589999999999995,0.6909913,0.66569775
0.7029356,0.6451264,0.7029999999999975,0.6440000000000039,0.70833373,0.6949933
0.7406429,0.23848987,0.7266299444444444,0.1803733333333333,0.7401334,0.21942408
0.68633854,0.59822506,0.6824299999999998,0.6330999999999999,0.686978,0.65512294
0.7301896,0.21039504,0.7475649999999997,0.3022859999999998,0.73537016,0.22767256
0.73787016,0.21276683,0.7347999999999996,0.1971797063492064,0.7402825,0.2670442
0.7219626,0.16962922,0.715788357142857,0.1431288095238095,0.7315403,0.18432346
0.7276081,0.19372869,0.7566673333333331,0.3198255000000005,0.73080313,0.18253165
0.6923044,0.6037367,0.6954699999999993,0.62697,0.69380647,0.6264525
0.6989876,0.6316327,0.6929999999999992,0.6209800000000009,0.69266194,0.60566294
0.7429263,0.25144362,0.7277399761904761,0.1950935,0.73620546,0.23133534
0.69495916,0.59800327,0.6949999999999997,0.5850000000000007,0.7005422,0.6093524
0.7347098,0.22259161,0.7260786666666661,0.20038,0.7392565,0.21413694
0.7365239,0.22103453,0.7379999999999997,0.2229131201298701,0.74075454,0.22452268
0.7034868,0.6665494,0.6929999999999992,0.627000000000001,0.7063234,0.6720044
0.72182983,0.17037061,0.7124933333333332,0.1129049999999999,0.7224912,0.17791948
0.7292919,0.18442437,0.7312208333333331,0.2006116666666667,0.72783875,0.17767863
0.68376285,0.5757138,0.6908300000000003,0.6385700000000003,0.68334055,0.63823783
0.7391792,0.23292184,0.7283422380952379,0.1989533333333334,0.7355329,0.19702283
0.7379922,0.22550923,0.7346033333333329,0.1922799999999999,0.73689306,0.1921214
0.7097477,0.6563254,0.7160000000000022,0.6870000000000038,0.71315485,0.69279605
0.6871718,0.586672,0.6709999999999998,0.5720000000000008,0.69191366,0.6664745
0.7350426,0.20931804,0.7325399999999995,0.1891443333333333,0.73737043,0.21296862
0.7442384,0.25896284,0.7464840952380952,0.2506845714285715,0.7415533,0.2287322
0.7020491,0.66511095,0.7120000000000017,0.7019999999999988,0.7039747,0.6695434
0.71574026,0.16790447,0.6980499999999998,0.0951339166666666,0.7229787,0.18169469
0.7219151,0.18381453,0.7228000000000001,0.1877059999999998,0.73349845,0.1927249
0.70010114,0.6500342,0.6949999999999997,0.6210000000000008,0.70221585,0.66402245
0.6949563,0.62916553,0.7009999999999998,0.6499999999999991,0.698648,0.6228156
0.6610819,0.49641538,0.6210000000000008,0.2399999999999996,0.66057664,0.41092503
0.7334748,0.20929855,0.737547,0.2363246666666666,0.7388771,0.20445526
0.5232302,0.11435568,0.5194700000000002,0.1346499999999999,0.52039343,0.12487552
0.73425394,0.25245208,0.7434890476190477,0.2790467023809524,0.7400699,0.29826188
0.662613,0.5244993,0.6400000000000005,0.3850000000000003,0.64638114,0.46453926
0.7406429,0.23848987,0.7266299444444444,0.1803733333333333,0.7401334,0.21942408
0.7129587,0.67313087,0.7119999999999991,0.6730000000000017,0.7148888,0.6860619
0.7097477,0.6563254,0.7160000000000022,0.6870000000000038,0.71315485,0.69279605
0.70672387,0.68088233,0.6949999999999996,0.6370000000000003,0.71171737,0.7050515
0.7280125,0.2089315,0.7033028333333335,0.1350453333333333,0.73032624,0.19946717
0.72898185,0.19085813,0.7210724999999999,0.1587558333333332,0.7356334,0.1904975
0.72530663,0.18310452,0.7302408333333332,0.1865496666666667,0.7247994,0.19362399
0.7358686,0.21270987,0.7507188333333334,0.2836200000000002,0.73329043,0.24884209
0.73083276,0.18734252,0.7188740000000016,0.1431833333333331,0.7313472,0.18399027
0.69493234,0.64520836,0.7009999999999996,0.6689999999999984,0.69777215,0.6664391
0.6777264,0.5545868,0.6899999999999991,0.6520000000000009,0.67468464,0.615218
0.73505425,0.22853288,0.7260158333333325,0.2120200000000004,0.7369672,0.21546537
0.7249075,0.16328293,0.7231966666666659,0.1572974999999999,0.72487414,0.17050792
0.7434086,0.25502586,0.748826666666667,0.2696800000000003,0.74652505,0.23698106
0.67709,0.5916312,0.6940000000000011,0.7060000000000015,0.6841662,0.6937311
0.73309624,0.20708638,0.7346286666666662,0.2059968333333333,0.7367781,0.21671923
0.706914,0.6871661,0.7019999999999987,0.6839999999999989,0.70737326,0.698592
0.70090544,0.6194098,0.7189999999999996,0.6929999999999983,0.70443755,0.67247957
0.7130776,0.66598475,0.718999999999999,0.6800000000000016,0.7178915,0.6967228
0.73730457,0.22847891,0.7327039999999997,0.2176572222222222,0.742594,0.22927174
0.7161861,0.12779248,0.7290458333333335,0.1843806904761904,0.7246055,0.16802222
0.72402835,0.1814133,0.7113299999999999,0.1180016666666665,0.7282456,0.17404884
0.5302712,0.09967464,0.5285300000000005,0.11403,0.5191155,0.1271818
0.7162001,0.18780166,0.7195499999999995,0.1729246666666668,0.7293403,0.2367121
0.7298429,0.22270513,0.7154514285714276,0.1364554999999999,0.73317975,0.20179254
0.7129587,0.67313087,0.7119999999999991,0.6730000000000017,0.7148888,0.6860619
0.7416464,0.2731235,0.7424238333333335,0.2663925793650794,0.74183494,0.25077343
0.68612313,0.633308,0.6790000000000007,0.6314899999999994,0.6858159,0.705152
0.72146076,0.19905496,0.7060699999999998,0.1374499999999998,0.72860885,0.24307552
0.7360567,0.24675173,0.7195949999999992,0.1710276666666666,0.74324167,0.25941393
0.7143891,0.6670379,0.7221899999999996,0.7088300000000001,0.719765,0.71492213
0.65446043,0.5082751,0.6674399999999997,0.5656700000000001,0.6614139,0.5749909
0.73333645,0.21166423,0.7318032619047616,0.1852362857142857,0.7360468,0.21035962
0.68454915,0.5738397,0.7129999999999999,0.6915099999999996,0.6843601,0.6220092
0.6622262,0.49380648,0.622999999999999,0.2330000000000003,0.65176827,0.3723771
0.7129587,0.67313087,0.7119999999999991,0.6730000000000017,0.7148888,0.6860619
0.72954917,0.19681275,0.7335466666666666,0.2070130952380952,0.7266434,0.19485632
0.69612247,0.6344105,0.7056700000000015,0.6787800000000003,0.6981491,0.6822514
0.7097477,0.6563254,0.7160000000000022,0.6870000000000038,0.71315485,0.69279605
0.7129587,0.67313087,0.7119999999999991,0.6730000000000017,0.7148888,0.6860619
0.73246604,0.20368004,0.7295562500000004,0.1819864999999999,0.7350847,0.20959094
0.7298924,0.19278973,0.7311549999999992,0.1956319999999999,0.73744273,0.2142779
